Abalphat d'Ispahan (Perse, 990-)
Ferdinand Georg Frobenius (Allemagne, 1849-1917)
Ferdinand von Lindemann (Allemagne, 1852-1939)
Florimond de Beaune (France, 1601-1652)
Francesco Severi (Italie, 1879-1961)
François d'Aguilon (Belgique, 1566-1617)
François Le Lionnais (France, 1901-1984)
François Nicole (France, 1683-1758)
François Viète (France, 1540-1603)
Frank Morley (Angleterre, 1860-1937)
Frank Plumpton Ramsey (Angleterre, 1903-1930)
Frans van Schooten (Hollande, 1615-1660)
Franz Mertens (Allemagne, 1840-1927)
Freeman John Dyson (Angleterre, 1923-)
Friedrich Ludwig Gottlob Frege (Allemagne, 1848-1925)
Friedrich Wilhelm Bessel (Allemagne, 1784-1846)
Frigyes Riesz (Hongrie, 1880-1956)
Gábor Szegö (Hongrie, 1895-1985)
Gabriel Cramer (Suisse, 1704-1752)
Gaspard Lax de Sarenina (Espagne, 1487-1560)
Gaspard Monge (France, 1746-1818)
Gaston Darboux (France, 1842-1917)
Gaston Maurice Julia (France, 1893-1978)
Gaston Tarry (France, 1843-1913)
Georg Alexander Pick (Autriche, 1859-1943)
George Atwood (Angleterre, 1746-1807)
George Boole (Angleterre, 1815-1864)
George Dantzig (États-Unis, 1914-2005)
George Gabriel Stokes (Irlande, 1819-1903)
George Green (Allemagne, 1793-1841)
George Pólya (Hongrie, 1887-1985)
Georges de Rham (Suisse, 1903-1990)
Georges Valiron (France, 1885-1955)
George William Hill (États-Unis, 1838-1914)
Georg Ferdinand Cantor (Allemagne, 1845-1918)
Georg Joachim Rheticus (Autriche, 1514-1574)
Georg Mohr (Danemark, 1640-1697)
Georg von Purbach (Autriche, 1423-1461)
Gerbert d'Aurillac (France, 945-1003)
Gerd Faltings (Allemagne, 1954-)
Gerhard Gentzen (Allemagne, 1909-1945)
Germinal Pierre Dandelin (Belgique, 1794-1847)
Gertrude Blanch (Pologne, 1897-1996)
Ghiyath al-Kashi (Perse, 1370-1430)
Gian-Carlo Rota (Italie, 1932-1999)
Gilles Personne de Roberval (France, 1602-1675)
Giovanni Ceva (Italie, 1648-1734)
Giovanni Girolamo Saccheri (Italie, 1667-1733)
Girard Desargues (France, 1591-1661)
Giulio Ascoli (Italie, 1843-1896)
Giulio Fagnano dei Toschi (Italie, 1682-1766)
Giuseppe Peano (Italie, 1858-1932)
Giuseppe Vitali (Italie, 1875-1932)
Giusto Bellavitis (Italie, 1803-1880)
Godfrey Harold Hardy (Angleterre, 1877-1947)
Goro Shimura (Japon, 1930-)
Gösta Mittag-Leffler (Suède, 1846-1927)
Gottfried Wilhelm Leibniz (Allemagne, 1646-1716)
Grace Chisholm Young (Royaume-Uni, 1868-1944)
Grégoire de Saint-Vincent (Belgique, 1584-1667)
Gregori Margulis (Russie, 1946-)
Gregorio Ricci-Curbastro (Italie, 1853-1925)
Gregory J. Chaitin (États-Unis, 1947-)
Grigore Moisil (Roumanie, 1906-1973)
Grigori Perelman (Russie, 1966-)
Grigory Barenblatt (Russie, 1927-)
Guido Castelnuovo (Italie, 1865-1952)
Guillaume François Antoine, marquis de L'Hôpital (France, 1661-1704)
Günter M. Ziegler (Allemagne, 1963-)
Gustav Roch (Allemagne, 1839-1866)
Haïm Brezis (France, 1944-)
Hans Carl Friedrich von Mangoldt (Allemagne, 1854-1925)
Hans Freudenthal (Allemagne, 1905-1990)
Hans Zassenhaus (Allemagne, 1912-1991)
Harald Bohr (Danemark, 1887-1951)
Harald Cramér (Suède, 1893-1985)
Hassler Whitney (États-Unis, 1907-1989)
